Filename,URL
CFK104_Preta_2.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842348/dssg58nwyhtj45ahkaxv.jpg
CFK104_Preta_3.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842348/zuebuzyryd7ufjvytzxp.jpg
CFK104_Preta_4.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842348/wvvdddcrqojyyo3xabjx.jpg
CFK105_Marrom_1.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842348/en5aez5i9jjilkqmt5i6.jpg
CFK105_Marrom_2.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842348/t1bio24tx5wkfeowr1ch.jpg
CFK105_Marrom_3.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/cnfnhlofb9za7uorkv87.jpg
CFK105_Marrom_4.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/jt4ly6w5xcnjihx9ud6j.jpg
CFK105_Nude_1.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/igdvqheu3awo2cffsfgq.jpg
CFK105_Nude_2.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/wme8gtwtcdawhjvhtmg0.jpg
CFK105_Nude_3.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/rx5qv4lcbz2n1x8eh0ol.jpg
CFK105_Nude_4.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/dw9vr5u5az3tg7msikdo.jpg
CFK105_Preta_1.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/pf3v2mnmelunaj2q3do6.jpg
CFK105_Preta_2.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/tcyusxfm16e6nwqvuang.jpg
CFK105_Preta_3.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/hkqzuvru5hvoufccazuq.jpg
CFK105_Preta_4.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842349/czbpyezpgizaycvaxyh5.jpg
CFK106_Marrom_1.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842350/wozq7arlzvclwgxdrohf.jpg
CFK106_Marrom_2.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842350/lj160wicpm5mcdd9m2kh.jpg
CFK106_Marrom_3.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842350/dsj8en2apguey5c6qacr.jpg
CFK106_Marrom_4.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842350/jo4boziqxkzgwuonoaoq.jpg
CFK106_Nude_1.jpg,http://res.cloudinary.com/dzvn3l0dj/image/upload/v1688842350/mhsgoolxr77oje2iyzwf.jpg
